student_id,name,age,gender,department,year,cgpa,communication_skill,attendance_percentage,internship_done,placement
S1000,Student_0,17,Female,Computer Science,1st,6.22,3,60.52,Yes,No
S1001,Student_1,19,Female,Civil,2nd,5.17,10,67.52,Yes,No
S1002,Student_2,23,Female,Mechanical,3rd,8.94,6,65.81,Yes,No
S1003,Student_3,21,Other,Mechanical,4th,5.32,7,66.23,No,No
S1004,Student_4,23,Male,IT,3rd,7.76,7,74.78,No,No
S1005,Student_5,21,Male,Electrical,3rd,4.59,8,69.96,Yes,No
S1006,Student_6,23,Female,Electronics,3rd,9.73,1,77.77,No,No
S1007,Student_7,18,Male,Civil,2nd,7.45,8,72.57,No,No
S1008,Student_8,19,Female,Electrical,4th,4.9,10,90.61,Yes,No
S1009,Student_9,24,Female,Mechanical,3rd,4.96,9,78.13,Yes,No
S1010,Student_10,24,Male,Mechanical,3rd,8.33,4,78.79,Yes,No
S1011,Student_11,19,Male,Civil,1st,6.43,8,76.57,Yes,No
S1012,Student_12,19,Other,Electronics,3rd,7.48,3,64.95,Yes,No
S1013,Student_13,22,Female,Mechanical,3rd,6.93,6,66.78,No,No
S1014,Student_14,21,Female,Electrical,4th,6.28,6,93.94,No,No
S1015,Student_15,20,Other,Civil,1st,5.67,1,89.5,Yes,No
S1016,Student_16,24,Female,IT,4th,9.47,7,98.52,Yes,Yes
S1017,Student_17,19,Male,Mechanical,4th,7.56,5,82.78,Yes,No
S1018,Student_18,21,Female,IT,1st,4.66,9,83.88,No,No
S1019,Student_19,24,Male,Electrical,3rd,5.58,4,91.11,No,No
S1020,Student_20,23,Female,Computer Science,1st,5.7,8,74.41,No,No
S1021,Student_21,20,Female,Electronics,4th,8.66,3,73.51,Yes,No
S1022,Student_22,17,Male,Computer Science,4th,6.36,2,88.98,Yes,No
S1023,Student_23,22,Male,Computer Science,3rd,4.54,2,72.94,No,No
S1024,Student_24,22,Female,Electronics,1st,6.87,3,65.44,Yes,No
S1025,Student_25,24,Male,IT,1st,6.89,6,84.61,No,No
S1026,Student_26,24,Female,Electrical,4th,5.92,5,71.29,No,No
S1027,Student_27,17,Other,Civil,4th,6.2,7,68.77,No,No
S1028,Student_28,20,Other,Computer Science,2nd,8.25,1,91.59,No,No
S1029,Student_29,19,Female,Computer Science,3rd,9.89,6,88.35,Yes,No
S1030,Student_30,19,Female,Computer Science,3rd,9.84,4,74.5,No,No
S1031,Student_31,19,Female,Electrical,3rd,5.23,1,90.68,No,No
S1032,Student_32,18,Female,Mechanical,1st,8.15,3,74.88,No,No
S1033,Student_33,18,Female,IT,3rd,6.68,3,71.1,Yes,No
S1034,Student_34,17,Female,IT,1st,9.42,1,84.29,No,No
S1035,Student_35,20,Female,Electrical,4th,4.6,9,86.0,No,No
S1036,Student_36,22,Male,Computer Science,3rd,8.85,5,89.3,No,No
S1037,Student_37,23,Male,Electronics,3rd,6.86,3,81.13,Yes,No
S1038,Student_38,19,Other,Electrical,1st,9.61,7,85.5,Yes,Yes
S1039,Student_39,22,Male,Computer Science,3rd,8.56,6,69.77,No,No
S1040,Student_40,21,Other,Mechanical,4th,9.91,10,76.14,Yes,Yes
S1041,Student_41,18,Other,Civil,4th,6.69,4,70.76,No,No
S1042,Student_42,23,Male,IT,4th,4.11,7,77.2,No,No
S1043,Student_43,23,Other,Computer Science,1st,8.3,6,81.85,No,No
S1044,Student_44,21,Male,Civil,2nd,4.26,6,70.49,Yes,No
S1045,Student_45,24,Other,Civil,4th,6.26,2,67.22,Yes,No
S1046,Student_46,24,Female,Civil,2nd,7.16,3,72.82,Yes,No
S1047,Student_47,18,Female,Electronics,1st,9.11,7,72.94,Yes,Yes
S1048,Student_48,22,Female,IT,1st,5.5,10,74.84,No,No
S1049,Student_49,19,Other,IT,1st,5.5,7,70.41,No,No
S1050,Student_50,17,Male,Civil,1st,4.69,1,78.17,No,No
S1051,Student_51,18,Female,Civil,1st,7.5,10,96.51,Yes,Yes
S1052,Student_52,17,Female,Mechanical,2nd,7.5,7,80.81,No,No
S1053,Student_53,23,Female,IT,2nd,8.5,7,83.34,Yes,Yes
S1054,Student_54,21,Male,Civil,3rd,7.99,6,66.83,No,No
S1055,Student_55,18,Male,Computer Science,1st,7.74,5,71.44,Yes,No
S1056,Student_56,22,Other,Computer Science,3rd,6.14,7,62.94,Yes,No
S1057,Student_57,18,Female,Mechanical,3rd,6.33,5,81.72,No,No
S1058,Student_58,20,Female,Electrical,4th,10.0,1,81.19,No,No
S1059,Student_59,24,Male,Computer Science,2nd,7.15,2,92.55,Yes,No
S1060,Student_60,17,Male,Electronics,4th,8.7,7,77.28,No,No
S1061,Student_61,24,Male,Electrical,4th,8.29,3,68.32,No,No
S1062,Student_62,24,Other,Computer Science,3rd,7.0,8,61.27,Yes,No
S1063,Student_63,22,Male,Electronics,4th,6.57,7,93.48,Yes,No
S1064,Student_64,24,Male,Electronics,1st,7.92,5,94.88,Yes,No
S1065,Student_65,24,Female,IT,2nd,9.78,10,72.82,No,No
S1066,Student_66,21,Male,Electrical,4th,4.14,7,75.44,Yes,No
S1067,Student_67,20,Other,IT,1st,7.24,9,77.35,Yes,No
S1068,Student_68,20,Other,IT,4th,8.59,1,78.01,No,No
S1069,Student_69,22,Female,Civil,1st,6.81,10,72.76,No,No
S1070,Student_70,22,Other,Electrical,4th,9.23,1,98.13,Yes,No
S1071,Student_71,24,Male,Mechanical,4th,6.39,6,82.87,No,No
S1072,Student_72,18,Other,Electronics,4th,4.94,8,70.6,Yes,No
S1073,Student_73,24,Other,Electronics,4th,5.69,5,62.51,Yes,No
S1074,Student_74,23,Female,Mechanical,1st,4.32,2,87.53,Yes,No
S1075,Student_75,20,Female,IT,2nd,7.97,5,95.24,Yes,No
S1076,Student_76,21,Female,Civil,2nd,6.19,2,93.08,Yes,No
S1077,Student_77,24,Female,Electronics,4th,4.1,7,74.49,No,No
S1078,Student_78,24,Male,IT,2nd,8.63,6,89.25,No,No
S1079,Student_79,19,Female,IT,2nd,7.07,4,62.57,No,No
S1080,Student_80,23,Other,Civil,2nd,7.61,6,86.47,Yes,No
S1081,Student_81,21,Other,Electrical,1st,7.36,10,97.77,No,No
S1082,Student_82,18,Female,IT,3rd,9.83,6,60.39,No,No
S1083,Student_83,21,Female,Computer Science,3rd,8.65,10,93.58,No,No
S1084,Student_84,19,Female,Electrical,2nd,9.74,2,77.21,No,No
S1085,Student_85,24,Female,Civil,2nd,9.01,4,81.82,No,No
S1086,Student_86,20,Female,Electronics,4th,5.54,6,78.99,Yes,No
S1087,Student_87,23,Female,Electrical,2nd,5.1,5,85.78,No,No
S1088,Student_88,21,Female,Mechanical,2nd,6.85,1,82.26,No,No
S1089,Student_89,23,Female,Computer Science,2nd,4.77,10,67.6,No,No
S1090,Student_90,21,Female,Mechanical,3rd,5.24,5,79.69,No,No
S1091,Student_91,18,Female,Mechanical,4th,9.33,4,88.46,No,No
S1092,Student_92,18,Female,Electronics,1st,8.2,7,95.52,No,No
S1093,Student_93,23,Other,Civil,3rd,7.81,6,84.25,No,No
S1094,Student_94,23,Other,Electrical,3rd,5.71,4,74.99,Yes,No
S1095,Student_95,20,Other,IT,4th,9.78,10,86.0,Yes,Yes
S1096,Student_96,17,Male,Electrical,4th,6.13,5,70.0,No,No
S1097,Student_97,18,Male,Electrical,4th,8.08,4,75.97,No,No
S1098,Student_98,18,Female,Mechanical,1st,6.35,9,99.31,Yes,No
S1099,Student_99,24,Male,Civil,1st,8.93,4,90.9,Yes,No
S1100,Student_100,18,Female,Civil,2nd,5.76,10,67.81,Yes,No
S1101,Student_101,17,Other,Civil,3rd,7.8,8,93.28,No,No
S1102,Student_102,19,Female,Computer Science,1st,5.88,7,80.28,Yes,No
S1103,Student_103,23,Other,Electronics,1st,7.98,1,96.23,Yes,No
S1104,Student_104,22,Other,Electrical,1st,7.51,8,60.45,Yes,Yes
S1105,Student_105,18,Male,Computer Science,2nd,4.25,7,92.53,Yes,No
S1106,Student_106,20,Other,Electrical,3rd,9.14,3,83.46,Yes,No
S1107,Student_107,20,Other,Electronics,1st,6.52,6,74.21,Yes,No
S1108,Student_108,20,Male,Mechanical,4th,7.36,3,77.16,Yes,No
S1109,Student_109,23,Other,IT,3rd,5.64,7,96.23,No,No
S1110,Student_110,23,Other,Civil,3rd,6.53,2,73.0,No,No
S1111,Student_111,23,Female,Electronics,1st,7.54,7,69.0,Yes,Yes
S1112,Student_112,23,Male,Computer Science,4th,7.15,1,71.9,No,No
S1113,Student_113,22,Other,Computer Science,2nd,4.74,8,80.69,Yes,No
S1114,Student_114,18,Other,Civil,2nd,5.02,8,70.99,No,No
S1115,Student_115,22,Other,Computer Science,4th,6.31,10,67.42,No,No
S1116,Student_116,23,Female,IT,1st,9.17,2,78.12,Yes,No
S1117,Student_117,17,Male,IT,1st,7.42,4,84.56,No,No
S1118,Student_118,18,Male,IT,1st,7.81,3,93.98,No,No
S1119,Student_119,22,Female,Electronics,4th,8.9,8,69.61,No,No
S1120,Student_120,19,Other,Mechanical,3rd,5.75,3,95.06,No,No
S1121,Student_121,18,Female,Mechanical,2nd,8.62,8,75.06,Yes,Yes
S1122,Student_122,23,Other,Computer Science,1st,6.78,4,74.8,Yes,No
S1123,Student_123,24,Male,IT,4th,7.57,10,92.62,Yes,Yes
S1124,Student_124,17,Female,Civil,3rd,7.88,2,76.91,No,No
S1125,Student_125,18,Male,Electronics,4th,4.27,4,64.2,No,No
S1126,Student_126,24,Male,Civil,4th,8.87,9,92.8,Yes,Yes
S1127,Student_127,18,Male,Computer Science,2nd,7.76,4,79.15,No,No
S1128,Student_128,17,Other,Civil,4th,4.31,9,82.5,Yes,No
S1129,Student_129,19,Male,IT,1st,8.61,1,96.6,Yes,No
S1130,Student_130,17,Female,Computer Science,2nd,5.84,7,69.46,Yes,No
S1131,Student_131,24,Other,Civil,1st,9.49,7,63.12,No,No
S1132,Student_132,24,Female,Mechanical,1st,7.35,5,91.69,No,No
S1133,Student_133,24,Other,Civil,1st,4.37,8,89.43,Yes,No
S1134,Student_134,17,Male,Electronics,4th,6.57,10,67.16,No,No
S1135,Student_135,24,Female,Electrical,1st,9.97,5,61.64,No,No
S1136,Student_136,20,Female,Electronics,1st,8.92,7,95.91,No,No
S1137,Student_137,20,Other,Computer Science,2nd,8.54,1,91.26,No,No
S1138,Student_138,17,Male,Mechanical,2nd,4.56,10,80.2,Yes,No
S1139,Student_139,18,Female,Civil,1st,5.07,2,78.36,No,No
S1140,Student_140,19,Other,Civil,2nd,9.5,9,60.19,No,No
S1141,Student_141,21,Male,Electrical,2nd,7.95,9,72.93,Yes,Yes
S1142,Student_142,19,Male,Mechanical,3rd,8.46,8,77.54,No,No
S1143,Student_143,20,Male,IT,4th,8.44,10,98.1,Yes,Yes
S1144,Student_144,23,Other,Electronics,2nd,5.59,4,90.64,Yes,No
S1145,Student_145,17,Other,Civil,3rd,6.97,8,71.26,No,No
S1146,Student_146,23,Male,IT,4th,6.48,6,85.06,No,No
S1147,Student_147,19,Other,Mechanical,2nd,8.33,3,92.94,Yes,No
S1148,Student_148,24,Other,Electrical,3rd,7.88,8,91.06,Yes,Yes
S1149,Student_149,23,Male,Civil,3rd,4.47,10,84.58,Yes,No
S1150,Student_150,19,Male,Computer Science,3rd,6.73,8,84.94,Yes,No
S1151,Student_151,17,Male,Electronics,3rd,8.14,8,96.62,Yes,Yes
S1152,Student_152,22,Male,Electrical,1st,6.25,6,64.17,No,No
S1153,Student_153,19,Male,Civil,2nd,7.8,6,96.33,No,No
S1154,Student_154,20,Other,Computer Science,3rd,4.88,2,84.87,No,No
S1155,Student_155,17,Female,Mechanical,4th,7.69,10,69.56,No,No
S1156,Student_156,22,Other,Civil,2nd,5.74,9,83.2,Yes,No
S1157,Student_157,17,Other,Civil,1st,9.31,3,61.62,Yes,No
S1158,Student_158,20,Female,Electrical,3rd,4.39,3,68.45,No,No
S1159,Student_159,17,Female,IT,3rd,7.2,7,61.18,No,No
S1160,Student_160,20,Other,IT,4th,6.67,5,97.77,No,No
S1161,Student_161,18,Female,Civil,4th,4.87,1,80.82,Yes,No
S1162,Student_162,20,Other,Mechanical,3rd,7.56,2,99.15,No,No
S1163,Student_163,18,Male,Electrical,1st,6.62,4,87.41,No,No
S1164,Student_164,19,Male,Electronics,2nd,6.7,10,73.71,Yes,No
S1165,Student_165,22,Male,Mechanical,1st,9.16,4,99.04,Yes,No
S1166,Student_166,20,Other,Computer Science,1st,5.97,7,86.2,Yes,No
S1167,Student_167,19,Male,Civil,2nd,8.5,8,93.54,No,No
S1168,Student_168,24,Other,IT,3rd,4.48,2,86.26,Yes,No
S1169,Student_169,21,Male,IT,2nd,7.66,7,90.33,Yes,Yes
S1170,Student_170,18,Male,Electrical,2nd,8.5,6,72.89,No,No
S1171,Student_171,23,Female,IT,4th,5.98,10,83.36,No,No
S1172,Student_172,17,Other,IT,2nd,4.69,8,81.42,Yes,No
S1173,Student_173,18,Female,Computer Science,3rd,4.2,3,72.85,Yes,No
S1174,Student_174,23,Male,IT,4th,5.33,9,85.64,Yes,No
S1175,Student_175,22,Female,Civil,2nd,7.06,7,73.09,No,No
S1176,Student_176,20,Male,IT,1st,6.22,10,71.63,Yes,No
S1177,Student_177,21,Female,Civil,2nd,9.81,4,79.16,No,No
S1178,Student_178,19,Other,Electronics,1st,6.24,9,96.65,No,No
S1179,Student_179,21,Male,Computer Science,1st,9.37,8,95.74,Yes,Yes
S1180,Student_180,20,Male,Computer Science,3rd,7.59,8,86.14,Yes,Yes
S1181,Student_181,23,Male,Electrical,4th,7.55,6,71.7,Yes,No
S1182,Student_182,20,Male,Computer Science,2nd,9.34,8,75.83,No,No
S1183,Student_183,18,Male,IT,4th,5.81,8,85.64,No,No
S1184,Student_184,24,Male,Mechanical,2nd,6.44,3,85.76,Yes,No
S1185,Student_185,23,Other,Computer Science,1st,8.03,3,64.62,Yes,No
S1186,Student_186,17,Other,Computer Science,2nd,7.99,4,62.3,No,No
S1187,Student_187,19,Female,Civil,4th,7.24,3,67.63,No,No
S1188,Student_188,17,Other,Mechanical,1st,9.02,9,67.43,Yes,Yes
S1189,Student_189,17,Other,Electronics,2nd,4.07,5,75.22,No,No
S1190,Student_190,24,Male,Civil,4th,6.62,6,94.86,Yes,No
S1191,Student_191,18,Female,Mechanical,3rd,6.35,2,73.09,No,No
S1192,Student_192,24,Female,Electrical,2nd,6.67,7,94.67,No,No
S1193,Student_193,20,Female,Electrical,1st,6.54,3,70.89,Yes,No
S1194,Student_194,19,Male,Electrical,2nd,7.79,5,76.32,Yes,No
S1195,Student_195,21,Female,Electrical,3rd,9.92,2,93.53,Yes,No
S1196,Student_196,17,Other,Mechanical,2nd,6.16,9,82.71,Yes,No
S1197,Student_197,23,Male,Computer Science,3rd,7.58,2,81.19,Yes,No
S1198,Student_198,23,Other,Mechanical,2nd,5.04,5,98.7,Yes,No
S1199,Student_199,19,Male,Electronics,4th,8.9,3,96.31,No,No
S1200,Student_200,21,Other,Electronics,1st,4.14,7,99.4,Yes,No
S1201,Student_201,22,Other,Civil,3rd,9.78,2,79.54,No,No
S1202,Student_202,18,Male,Electrical,2nd,7.36,10,77.43,Yes,No
S1203,Student_203,21,Other,Computer Science,2nd,8.07,1,63.54,No,No
S1204,Student_204,19,Female,Electronics,4th,4.32,8,81.63,No,No
S1205,Student_205,21,Other,Electronics,2nd,4.8,7,98.75,No,No
S1206,Student_206,21,Female,Electronics,2nd,4.75,2,75.24,Yes,No
S1207,Student_207,18,Male,Mechanical,3rd,4.72,7,78.86,Yes,No
S1208,Student_208,18,Male,IT,3rd,6.77,9,68.0,Yes,No
S1209,Student_209,20,Female,IT,2nd,9.59,1,76.57,No,No
S1210,Student_210,17,Male,Electronics,2nd,7.58,7,94.8,Yes,Yes
S1211,Student_211,17,Female,Electrical,3rd,8.62,4,96.57,Yes,No
S1212,Student_212,21,Male,IT,1st,8.81,3,78.12,No,No
S1213,Student_213,20,Male,Computer Science,1st,6.67,7,74.35,Yes,No
S1214,Student_214,23,Male,Mechanical,1st,6.24,5,78.52,Yes,No
S1215,Student_215,22,Male,IT,4th,7.99,7,62.74,No,No
S1216,Student_216,23,Female,Computer Science,4th,5.69,8,81.65,No,No
S1217,Student_217,22,Male,Civil,4th,4.77,7,70.16,No,No
S1218,Student_218,23,Other,Electronics,3rd,7.36,1,98.45,No,No
S1219,Student_219,21,Male,Computer Science,1st,8.4,3,85.64,No,No
S1220,Student_220,24,Female,Electrical,3rd,7.03,8,78.64,No,No
S1221,Student_221,24,Other,IT,3rd,8.32,6,81.31,No,No
S1222,Student_222,24,Other,Electrical,2nd,9.57,5,76.69,No,No
S1223,Student_223,17,Female,IT,3rd,7.75,4,63.43,Yes,No
S1224,Student_224,18,Female,Electronics,3rd,4.38,1,75.2,No,No
S1225,Student_225,18,Female,Electronics,1st,8.91,2,84.46,Yes,No
S1226,Student_226,20,Male,Electrical,1st,9.4,7,78.56,Yes,Yes
